stub_file,require_literal,resolved_path,exists,size_bytes,mtime,notes
classes/Http/Handlers/Public/Ajax/TvmazeLookupHandler.php,/../../../../../public/ajax/tvmaze_lookup.php,public/ajax/tvmaze_lookup.php,yes,1063,2025-10-05 09:18:48,
classes/Http/Handlers/Public/Ajax/TakeUrlUploadHandler.php,/../../../../../public/ajax/take_url_upload.php,public/ajax/take_url_upload.php,yes,2397,2025-10-05 09:18:48,
classes/Http/Handlers/Public/Ajax/DescrFormatHandler.php,/../../../../../public/ajax/descr_format.php,public/ajax/descr_format.php,yes,540,2025-10-05 09:18:48,
classes/Http/Handlers/Public/Ajax/UsersearchHandler.php,/../../../../../public/ajax/usersearch.php,public/ajax/usersearch.php,yes,521,2025-10-05 09:18:48,
classes/Http/Handlers/Public/Ajax/ImdbLookupHandler.php,/../../../../../public/ajax/imdb_lookup.php,public/ajax/imdb_lookup.php,yes,1340,2025-10-05 09:18:48,
classes/Http/Handlers/Public/Ajax/OfferVoteHandler.php,/../../../../../public/ajax/offer_vote.php,public/ajax/offer_vote.php,yes,1298,2025-10-05 09:18:48,
classes/Http/Handlers/Public/Ajax/MemberInputHandler.php,/../../../../../public/ajax/member_input.php,public/ajax/member_input.php,yes,6060,2025-10-05 09:18:48,
classes/Http/Handlers/Public/Ajax/ThanksHandler.php,/../../../../../public/ajax/thanks.php,public/ajax/thanks.php,yes,5897,2025-10-05 12:34:48,
classes/Http/Handlers/Public/Ajax/LikeHandler.php,/../../../../../public/ajax/like.php,public/ajax/like.php,yes,4259,2025-10-05 09:18:48,
classes/Http/Handlers/Public/Ajax/RatingHandler.php,/../../../../../public/ajax/rating.php,public/ajax/rating.php,yes,4458,2025-10-05 09:18:48,
classes/Http/Handlers/Public/Ajax/TakeUploadHandler.php,/../../../../../public/ajax/take_upload.php,public/ajax/take_upload.php,yes,2555,2025-10-05 09:18:48,
classes/Http/Handlers/Public/Ajax/ShowInNavbarHandler.php,/../../../../../public/ajax/show_in_navbar.php,public/ajax/show_in_navbar.php,yes,1271,2025-10-05 09:18:48,
classes/Http/Handlers/Public/Ajax/RequestNotifyHandler.php,/../../../../../public/ajax/request_notify.php,public/ajax/request_notify.php,yes,1094,2025-10-05 09:18:48,
classes/Http/Handlers/Public/Ajax/BookmarksHandler.php,/../../../../../public/ajax/bookmarks.php,public/ajax/bookmarks.php,yes,2364,2025-10-05 09:18:48,
classes/Http/Handlers/Public/Ajax/ViewSqlHandler.php,/../../../../../public/ajax/view_sql.php,public/ajax/view_sql.php,yes,2300,2025-10-05 09:18:48,
classes/Http/Handlers/Public/Ajax/TriviaLookupHandler.php,/../../../../../public/ajax/trivia_lookup.php,public/ajax/trivia_lookup.php,yes,2349,2025-10-05 09:18:48,
classes/Http/Handlers/Public/Ajax/CookerNotifyHandler.php,/../../../../../public/ajax/cooker_notify.php,public/ajax/cooker_notify.php,yes,1150,2025-10-05 09:18:48,
classes/Http/Handlers/Public/Ajax/CheckportsHandler.php,/../../../../../public/ajax/checkports.php,public/ajax/checkports.php,yes,1648,2025-10-05 09:18:48,
classes/Http/Handlers/Public/Ajax/TorrentsLookupHandler.php,/../../../../../public/ajax/torrents_lookup.php,public/ajax/torrents_lookup.php,yes,22716,2025-10-05 09:18:48,
